time_h,mode,T_btes_C,T_aria_C,Tw_in_C,Tw_out_C,Q_rtc_W,Q_dc_W,Q_solar_W,Q_dc_demand_W,T_dc_ret_C,Ta_C,Tb_C,Tc_C,Td_C,n_iter,mpc_best_reward,threshold_mode,threshold_reward,mpc_gain,mpc_changed,mpc_n_candidates
1233.0,charge,20.656630153415986,26.2,20.65663015341596,20.7891955176118,459.9947275199124,0.0,927.4564999996637,0.0,26.2,36.73240210752061,21.768656885907205,21.94361796560804,21.228140864251372,2,5.218407976032159,charge,5.218407976032159,0.0,False,2
1234.0,charge,20.6849289566769,26.9,20.684928956676913,20.835058646356174,478.2292420942966,0.0,1290.4705000008307,0.0,26.9,38.88301050922831,21.91883619458713,21.937900238342763,21.229724602955514,2,4.757728737392637,charge,4.757728737392637,0.0,False,2
1235.0,charge,20.738861314274533,27.4,20.738861314274516,20.913147818889115,539.526135964411,0.0,1551.6634999993953,0.0,27.4,41.81357086232629,22.158723068147594,21.93533510918786,21.231295402399894,2,4.278161695819291,charge,4.278161695819291,0.0,False,2
1236.0,charge,20.795827160562624,27.0,20.795827160562624,20.983987800160662,603.8743883972468,0.0,1511.8204999995046,0.0,27.0,43.26407192199878,22.32867981373016,21.93595283221117,21.232860775923314,2,3.7371901013712683,charge,3.7371901013712683,0.0,False,2
1237.0,charge,20.836277262794187,26.9,20.83627726279417,21.031737110930806,642.401447899002,0.0,1491.8989999998928,0.0,26.9,44.29776981569273,22.440261700310657,21.938496186400755,21.23442633370655,2,3.1322371309347217,charge,3.1322371309347217,0.0,False,2
1238.0,charge,20.868263559620292,27.6,20.86826355962029,21.069792215537802,669.5148059090205,0.0,1474.1909999995396,0.0,27.6,45.129174056856016,22.52809098428014,21.942412424284782,21.235995656449745,2,2.4889687843540442,charge,2.4889687843540442,0.0,False,2
1239.0,charge,20.88228303592337,26.9,20.882283035923365,21.073859954554166,671.5264755112779,0.0,1144.3795000007094,0.0,26.9,43.64795625760161,22.46894718429064,21.946486769006867,21.237570791512155,2,1.8189612176295031,charge,1.8189612176295031,0.0,False,2
1240.0,charge,20.859738752545056,25.8,20.85973875254507,21.026186485504525,621.7758016631856,0.0,768.0844999993844,0.0,25.8,40.58958853946132,22.2588498139267,21.948309179302782,21.239149361124817,2,1.1479807644036206,charge,1.1479807644036206,0.0,False,2
1241.0,charge,20.806763962403718,25.1,20.806763962403693,20.93990802080441,533.1521117237448,0.0,424.9919999997792,0.0,25.1,36.54587502902342,21.946623389955107,21.946114916379145,21.24072425187876,2,0.5331521117237449,charge,0.5331521117237449,0.0,False,2
1242.0,idle,20.45222888493647,24.9,,,0.0,0.0,0.0,0.0,24.9,36.54587502902342,21.946623389955107,21.946114916379145,21.24072425187876,1,0.0,idle,0.0,0.0,False,1
